Analyzing public/assets/water_deity_unit_final.png...
------------------------------
Found 810 potential white blobs.
Image Size: 1248x832
Listing Blobs > 10px:
Blob #1: Area=14 px. Center=(974,12). Box=[x=970, y=12, w=10, h=2]
Blob #2: Area=12 px. Center=(508,16). Box=[x=506, y=15, w=5, h=3]
Blob #5: Area=40 px. Center=(909,21). Box=[x=905, y=18, w=11, h=8]
Blob #9: Area=14 px. Center=(927,31). Box=[x=924, y=29, w=9, h=5]
Blob #10: Area=29 px. Center=(377,37). Box=[x=372, y=33, w=11, h=11]
Blob #11: Area=23 px. Center=(859,38). Box=[x=854, y=32, w=13, h=13]
Blob #14: Area=39 px. Center=(991,37). Box=[x=984, y=37, w=18, h=3]
Blob #17: Area=29 px. Center=(1041,42). Box=[x=1037, y=39, w=9, h=7]
Blob #20: Area=38 px. Center=(947,45). Box=[x=939, y=43, w=19, h=6]
Blob #21: Area=24 px. Center=(892,45). Box=[x=885, y=44, w=14, h=5]
Blob #22: Area=49 px. Center=(859,54). Box=[x=848, y=47, w=23, h=17]
Blob #23: Area=11 px. Center=(983,46). Box=[x=980, y=46, w=7, h=2]
Blob #27: Area=23 px. Center=(1077,59). Box=[x=1075, y=57, w=6, h=5]
Blob #28: Area=32 px. Center=(501,61). Box=[x=496, y=60, w=15, h=3]
Blob #34: Area=16 px. Center=(853,67). Box=[x=852, y=65, w=3, h=6]
Blob #36: Area=12 px. Center=(353,69). Box=[x=353, y=66, w=3, h=8]
Blob #38: Area=13 px. Center=(626,70). Box=[x=625, y=68, w=3, h=5]
Blob #39: Area=37 px. Center=(376,81). Box=[x=370, y=71, w=15, h=23]
Blob #45: Area=39 px. Center=(1035,79). Box=[x=1030, y=77, w=11, h=7]
Blob #47: Area=14 px. Center=(485,80). Box=[x=482, y=78, w=9, h=5]
Blob #49: Area=27 px. Center=(995,87). Box=[x=993, y=85, w=7, h=6]
Blob #51: Area=33 px. Center=(624,94). Box=[x=622, y=87, w=7, h=17]
Blob #52: Area=23 px. Center=(925,88). Box=[x=920, y=87, w=12, h=4]
Blob #55: Area=44 px. Center=(460,94). Box=[x=452, y=90, w=19, h=13]
Blob #57: Area=40 px. Center=(899,93). Box=[x=896, y=91, w=9, h=7]
Blob #60: Area=50 px. Center=(992,98). Box=[x=987, y=96, w=12, h=6]
Blob #61: Area=46 px. Center=(390,104). Box=[x=387, y=99, w=7, h=11]
Blob #64: Area=21 px. Center=(1017,110). Box=[x=1016, y=107, w=4, h=7]
Blob #71: Area=23 px. Center=(724,126). Box=[x=719, y=121, w=12, h=12]
Blob #73: Area=28 px. Center=(526,125). Box=[x=522, y=122, w=8, h=7]
Blob #74: Area=28 px. Center=(623,125). Box=[x=621, y=122, w=6, h=9]
Blob #75: Area=12 px. Center=(661,125). Box=[x=657, y=122, w=8, h=8]
Blob #76: Area=14 px. Center=(900,124). Box=[x=898, y=123, w=5, h=5]
Blob #78: Area=15 px. Center=(825,127). Box=[x=823, y=124, w=5, h=8]
Blob #79: Area=13 px. Center=(1013,126). Box=[x=1012, y=124, w=3, h=7]
Blob #80: Area=19 px. Center=(696,133). Box=[x=694, y=126, w=4, h=15]
Blob #81: Area=24 px. Center=(680,133). Box=[x=674, y=129, w=15, h=12]
Blob #82: Area=43 px. Center=(395,135). Box=[x=392, y=131, w=7, h=11]
Blob #85: Area=25 px. Center=(648,137). Box=[x=646, y=134, w=5, h=8]
